time,curvature, degrees
2.777778,29.434783,
5.208333,28.565217,
10.416667,29.304348,
20.486111,29.173913,
29.398148,28.173913,
40.277778,27.826087,
50.462963,27.913043,
73.958333,28.913043,
100.347222,30.043478,
200,26.130435,
